id,title,price
1,Product 1,30.65
2,Product 2,4985.65
3,Product 3,7432.85
4,Product 4,2798.83
5,Product 5,7858.04
6,Product 6,482.98
7,Product 7,6911.57
8,Product 8,8898.53
9,Product 9,2331.89
10,Product 10,6178.67
11,Product 11,5380.45
12,Product 12,4060.03
13,Product 13,9570.07
14,Product 14,808.29
15,Product 15,2461.18
16,Product 16,4745.49
17,Product 17,2728.36
18,Product 18,2847.69
19,Product 19,7347.55
20,Product 20,5524.64
21,Product 21,5594.6
22,Product 22,3360.36
23,Product 23,6377.61
24,Product 24,3164.29
25,Product 25,328.76
26,Product 26,7563.5
27,Product 27,5916.95
28,Product 28,4997.46
29,Product 29,754.13
30,Product 30,329.07
31,Product 31,2178.22
32,Product 32,2360.02
33,Product 33,310.21
34,Product 34,4869.59
35,Product 35,8088.32
36,Product 36,5946.85
37,Product 37,5545.06
38,Product 38,4453.74
39,Product 39,4863.39
40,Product 40,7566.56
41,Product 41,1855.51
42,Product 42,4155.43
43,Product 43,2563.2
44,Product 44,1963.32
45,Product 45,8075.47
46,Product 46,3360.37
47,Product 47,9570.28
48,Product 48,3126.3
49,Product 49,468.49
50,Product 50,37.66
51,Product 51,5675.56
52,Product 52,1821.6
53,Product 53,4697.46
54,Product 54,4629.4
55,Product 55,7250.98
56,Product 56,4958.58
57,Product 57,6425.21
58,Product 58,4819.59
59,Product 59,5850.9
60,Product 60,2841.83
61,Product 61,7341.68
62,Product 62,2414.44
63,Product 63,3508.15
64,Product 64,7362.26
65,Product 65,3618.85
66,Product 66,99.16
67,Product 67,8976.51
68,Product 68,2744.84
69,Product 69,8062.02
70,Product 70,8932.17
71,Product 71,9220.71
72,Product 72,597.74
73,Product 73,5556.07
74,Product 74,7095.89
75,Product 75,9565.87
76,Product 76,2697.13
77,Product 77,3798.11
78,Product 78,6643.79
79,Product 79,4092.57
80,Product 80,8193.59
81,Product 81,7762.69
82,Product 82,7766.9
83,Product 83,5099.85
84,Product 84,6740.71
85,Product 85,6863.63
86,Product 86,9448.28
87,Product 87,6757.13
88,Product 88,5423.44
89,Product 89,8356.46
90,Product 90,1282.54
91,Product 91,3427.74
92,Product 92,5303.1
93,Product 93,9168
94,Product 94,3707.89
95,Product 95,7570.32
96,Product 96,2897.98
97,Product 97,1044.79
98,Product 98,2931.72
99,Product 99,5610.6
100,Product 100,2982.87
101,Product 101,679.57
102,Product 102,2426
103,Product 103,2725.19
104,Product 104,1717.83
105,Product 105,7305.21
106,Product 106,5027.46
107,Product 107,9090.09
108,Product 108,3306.02
109,Product 109,5137.83
110,Product 110,8397.81
111,Product 111,820.57
112,Product 112,9132.26
113,Product 113,7006.34
114,Product 114,1882.78
115,Product 115,8565.34
116,Product 116,5648.48
117,Product 117,8522.62
118,Product 118,4654.14
119,Product 119,5516.85
120,Product 120,6149.29
121,Product 121,9227.3
122,Product 122,3427.44
123,Product 123,4460.77
124,Product 124,2020.06
125,Product 125,8288.11
126,Product 126,3018.56
127,Product 127,411.6
128,Product 128,1042.32
129,Product 129,7533.23
130,Product 130,4535.63
131,Product 131,1367.72
132,Product 132,3905.15
133,Product 133,3869.39
134,Product 134,4098.33
135,Product 135,4767.86
136,Product 136,5198.77
137,Product 137,6464.82
138,Product 138,9635.13
139,Product 139,1342.59
140,Product 140,1855.54
141,Product 141,1469.38
142,Product 142,4529.3
143,Product 143,1227.85
144,Product 144,255.84
145,Product 145,8499.66
146,Product 146,4668.11
147,Product 147,9444.35
148,Product 148,3030.57
149,Product 149,8634.05
150,Product 150,9795.15
151,Product 151,9145.02
152,Product 152,7968.95
153,Product 153,3243.19
154,Product 154,973.89
155,Product 155,1394.34
156,Product 156,4380.04
157,Product 157,6623.56
158,Product 158,3441.36
159,Product 159,9667.18
160,Product 160,6757.87
161,Product 161,3107.08
162,Product 162,8164.09
163,Product 163,5740.91
164,Product 164,1665.06
165,Product 165,1087.33
166,Product 166,6004.02
167,Product 167,1203.57
168,Product 168,1376.19
169,Product 169,2232.82
170,Product 170,5560.34
171,Product 171,5412.08
172,Product 172,7012.3
173,Product 173,4050.64
174,Product 174,9474.05
175,Product 175,6408.57
176,Product 176,4649.15
177,Product 177,7918.43
178,Product 178,4264.96
179,Product 179,6038.64
180,Product 180,196.85
181,Product 181,2720.82
182,Product 182,5616.91
183,Product 183,4315.05
184,Product 184,2725.29
185,Product 185,6305.95
186,Product 186,4434.85
187,Product 187,930.8
188,Product 188,1348.98
189,Product 189,3120.61
190,Product 190,8968.3
191,Product 191,3750.02
192,Product 192,7787.29
193,Product 193,6587.67
194,Product 194,4828.99
195,Product 195,5091.09
196,Product 196,5280.24
197,Product 197,9056.65
198,Product 198,7825.96
199,Product 199,6665.4
200,Product 200,4667.07
201,Product 201,488.86
202,Product 202,4199.76
203,Product 203,3146.3
204,Product 204,124.12
205,Product 205,9430.81
206,Product 206,9058.12
207,Product 207,2516.87
208,Product 208,310.79
209,Product 209,6284.69
210,Product 210,6598.48
211,Product 211,8581.27
212,Product 212,5486.52
213,Product 213,9402.36
214,Product 214,5048.73
215,Product 215,7323.36
216,Product 216,7538.76
217,Product 217,9109.43
218,Product 218,5165.44
219,Product 219,4157.47
220,Product 220,7801.54
221,Product 221,3408.47
222,Product 222,3599.84
223,Product 223,3540.32
224,Product 224,7045.81
225,Product 225,1815.44
226,Product 226,1474.72
227,Product 227,5898.99
228,Product 228,3087.7
229,Product 229,551.22
230,Product 230,4111.45
231,Product 231,9379.2
232,Product 232,4087.24
233,Product 233,3139.95
234,Product 234,4.17
235,Product 235,5528.88
236,Product 236,9800
237,Product 237,5358.64
238,Product 238,5859.19
239,Product 239,8706.36
240,Product 240,8795.8
241,Product 241,2437.44
242,Product 242,9800.76
243,Product 243,8738.62
244,Product 244,6973.13
245,Product 245,9427.77
246,Product 246,6689.97
247,Product 247,5153.8
248,Product 248,1574.99
249,Product 249,2735.28
250,Product 250,7911.79
251,Product 251,9173.58
252,Product 252,5351.14
253,Product 253,1957.45
254,Product 254,2956.18
255,Product 255,6574.96
256,Product 256,7513.9
257,Product 257,6370.62
258,Product 258,1652
259,Product 259,517.11
260,Product 260,1698.84
261,Product 261,9678.72
262,Product 262,4008.51
263,Product 263,8477.97
264,Product 264,6269
265,Product 265,9966.27
266,Product 266,9277.24
267,Product 267,1556.36
268,Product 268,8990.3
269,Product 269,9190.6
270,Product 270,7067.82
271,Product 271,7569.56
272,Product 272,6358.2
273,Product 273,8003.36
274,Product 274,1134.61
275,Product 275,1612.32
276,Product 276,7669.73
277,Product 277,7209.11
278,Product 278,796.36
279,Product 279,9042.13
280,Product 280,5312.36
281,Product 281,6748.6
282,Product 282,5859.83
283,Product 283,6217.2
284,Product 284,5680.08
285,Product 285,6737.24
286,Product 286,8388.61
287,Product 287,3736.96
288,Product 288,9629.77
289,Product 289,2793.99
290,Product 290,8691.71
291,Product 291,5421.69
292,Product 292,7454.59
293,Product 293,9663.84
294,Product 294,3502.19
295,Product 295,3816.32
296,Product 296,978.71
297,Product 297,2966.79
298,Product 298,1474.39
299,Product 299,9615.11
300,Product 300,4566.76
301,Product 301,8799.1
302,Product 302,4848.87
303,Product 303,8077.37
304,Product 304,7593.54
305,Product 305,4867.49
306,Product 306,6417.42
307,Product 307,241.19
308,Product 308,3233.89
309,Product 309,4854.5
310,Product 310,7766.35
311,Product 311,540.46
312,Product 312,2309.56
313,Product 313,9793.66
314,Product 314,8184.17
315,Product 315,5292.23
316,Product 316,6369.55
317,Product 317,6375.03
318,Product 318,3590.85
319,Product 319,8444.93
320,Product 320,1181.98
321,Product 321,2307.54
322,Product 322,1378.71
323,Product 323,1964.62
324,Product 324,380.43
325,Product 325,3131.49
326,Product 326,150.9
327,Product 327,8284.97
328,Product 328,9134.32
329,Product 329,3205
330,Product 330,3001.62
331,Product 331,1358.3
332,Product 332,9402.59
333,Product 333,5980.7
334,Product 334,9202.73
335,Product 335,1018.47
336,Product 336,1581.55
337,Product 337,5143.92
338,Product 338,1944.99
339,Product 339,2603.2
340,Product 340,2172.77
341,Product 341,8701.43
342,Product 342,9127.44
343,Product 343,81.7
344,Product 344,3473.22
345,Product 345,2689.61
346,Product 346,96.9
347,Product 347,6295.35
348,Product 348,9229.8
349,Product 349,9813.78
350,Product 350,3710.34
351,Product 351,8342.54
352,Product 352,9702.04
353,Product 353,1035.17
354,Product 354,2125.67
355,Product 355,9625.46
356,Product 356,641.5
357,Product 357,4889.98
358,Product 358,322.78
359,Product 359,2625.15
360,Product 360,3323.01
361,Product 361,154.62
362,Product 362,3514.31
363,Product 363,8082.83
364,Product 364,6952.55
365,Product 365,2364.29
366,Product 366,3326.74
367,Product 367,6938.85
368,Product 368,528.65
369,Product 369,3646.56
370,Product 370,8915.35
371,Product 371,1117.45
372,Product 372,8548.28
373,Product 373,8349.86
374,Product 374,1022.46
375,Product 375,8044.03
376,Product 376,3825.45
377,Product 377,4026.17
378,Product 378,5396.42
379,Product 379,1642.94
380,Product 380,1130.13
381,Product 381,8470.37
382,Product 382,6959.6
383,Product 383,9487.94
384,Product 384,7356.94
385,Product 385,8723.43
386,Product 386,7646.93
387,Product 387,1763.32
388,Product 388,7497.71
389,Product 389,7214.26
390,Product 390,8931.98
391,Product 391,2743.09
392,Product 392,818.7
393,Product 393,3545.31
394,Product 394,4716.08
395,Product 395,9606.33
396,Product 396,8333.03
397,Product 397,7819.31
398,Product 398,1476.44
399,Product 399,6581.2
400,Product 400,910.56
401,Product 401,2859.77
402,Product 402,352.56
403,Product 403,4646.1
404,Product 404,7182.06
405,Product 405,8195.51
406,Product 406,195.96
407,Product 407,8315.33
408,Product 408,1771.4
409,Product 409,8259.34
410,Product 410,1516.26
411,Product 411,1398.08
412,Product 412,7329.03
413,Product 413,893.87
414,Product 414,8727.56
415,Product 415,3043.22
416,Product 416,8341.77
417,Product 417,9962.18
418,Product 418,2132.28
419,Product 419,3868.88
420,Product 420,758.73
421,Product 421,7629.1
422,Product 422,1675.01
423,Product 423,9524.45
424,Product 424,9099.68
425,Product 425,7708.35
426,Product 426,1657.6
427,Product 427,5644.04
428,Product 428,1902.13
429,Product 429,1363.96
430,Product 430,9326.95
431,Product 431,3824.4
432,Product 432,7114.87
433,Product 433,409.1
434,Product 434,530.6
435,Product 435,2996.3
436,Product 436,1360.61
437,Product 437,1463.01
438,Product 438,2480.5
439,Product 439,4357.66
440,Product 440,866.89
441,Product 441,6307.11
442,Product 442,7073.92
443,Product 443,897.45
444,Product 444,7304.23
445,Product 445,9923.65
446,Product 446,8190.86
447,Product 447,4463.9
448,Product 448,8772.29
449,Product 449,7905.34
450,Product 450,2920.81
451,Product 451,4316.3
452,Product 452,4739.16
453,Product 453,9192.3
454,Product 454,9767.07
455,Product 455,1148.78
456,Product 456,3866.19
457,Product 457,8422.34
458,Product 458,6535.41
459,Product 459,9685.84
460,Product 460,5339.73
461,Product 461,4573.39
462,Product 462,6834.29
463,Product 463,1122.94
464,Product 464,7583.63
465,Product 465,9031.98
466,Product 466,6897.15
467,Product 467,3922.2
468,Product 468,3040.38
